variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts
step_00100,100,unknown,paraphrase,logit,0.345,-3.466885532838758,20.593984962406015,0.601,1000
step_00150,150,unknown,paraphrase,logit,0.359,-3.179160701295943,20.628175519630485,0.567,1000
step_00200,200,unknown,paraphrase,logit,0.38,-3.1542603949338663,20.75330396475771,0.546,1000
step_00250,250,unknown,paraphrase,logit,0.394,-3.1550287729509874,20.323974082073434,0.537,1000
step_00300,300,unknown,paraphrase,logit,0.409,-3.0178583950512112,20.42462845010616,0.529,1000
step_00350,350,unknown,paraphrase,logit,0.404,-3.0566749727748683,20.254777070063696,0.529,1000
step_00400,400,unknown,paraphrase,logit,0.388,-3.131853883888689,20.441810344827587,0.536,1000
step_00450,450,unknown,paraphrase,logit,0.414,-3.0430434678521707,20.228865979381442,0.515,1000
step_00500,500,unknown,paraphrase,logit,0.42,-3.004477496674517,20.171717171717173,0.505,1000
final,535,unknown,paraphrase,logit,0.451,-2.8069211541535335,20.437262357414447,0.474,1000
base,0,unknown,train,logit,0.0,-7.411310758590698,19.0,0.998,500
step_00050,50,unknown,train,logit,0.298,-3.7343137941099704,21.201149425287355,0.652,500
step_00100,100,unknown,train,logit,0.382,-2.963200404876843,21.301435406698566,0.582,500
step_00150,150,unknown,train,logit,0.442,-2.54550076700747,21.266129032258064,0.504,500
step_00200,200,unknown,train,logit,0.494,-2.2648553715948947,21.355311355311354,0.454,500
step_00250,250,unknown,train,logit,0.56,-1.9088926787730307,20.71812080536913,0.404,500
step_00300,300,unknown,train,logit,0.592,-1.700417073876597,20.909657320872274,0.358,500
step_00350,350,unknown,train,logit,0.634,-1.5643099073295015,20.846846846846848,0.334,500
step_00400,400,unknown,train,logit,0.648,-1.5800774992676452,20.973760932944607,0.314,500
step_00450,450,unknown,train,logit,0.698,-1.3294247686187737,20.712707182320443,0.276,500
step_00500,500,unknown,train,logit,0.75,-1.1106485376944766,20.81958762886598,0.224,500
final,535,unknown,train,logit,0.76,-1.0391449341652914,20.82323232323232,0.208,500
base,0,known,paraphrase,tuned,0.305,-3.9443333626128734,19.18811881188119,0.596,1000
step_00050,50,known,paraphrase,tuned,0.76,-1.018136224492453,18.926102502979738,0.161,1000
step_00100,100,known,paraphrase,tuned,0.802,-0.7682867842960405,18.96807297605473,0.123,1000
step_00150,150,known,paraphrase,tuned,0.807,-0.7272832506645937,18.726042841037206,0.113,1000
step_00200,200,known,paraphrase,tuned,0.803,-0.7933783432033379,18.717045454545456,0.12,1000
step_00250,250,known,paraphrase,tuned,0.81,-0.6711267117325332,18.48839779005525,0.095,1000
step_00300,300,known,paraphrase,tuned,0.838,-0.6001054454490077,18.54685777287762,0.093,1000
step_00350,350,known,paraphrase,tuned,0.818,-0.6814456863678643,18.543526785714285,0.104,1000
step_00400,400,known,paraphrase,tuned,0.795,-0.8044202665458433,18.603603603603602,0.112,1000
step_00450,450,known,paraphrase,tuned,0.818,-0.6640855110396514,18.5641592920354,0.096,1000
step_00500,500,known,paraphrase,tuned,0.818,-0.6660930617248523,18.515350877192983,0.088,1000
final,535,known,paraphrase,tuned,0.836,-0.6090257796930818,18.470974808324208,0.087,1000
base,0,known,train,tuned,0.982,-1.6332206568494438,19.544,0.0,500
step_00050,50,known,train,tuned,0.926,-0.31892752429796384,18.26293995859213,0.034,500
step_00100,100,known,train,tuned,0.952,-0.26300592857412997,18.290721649484535,0.03,500
step_00150,150,known,train,tuned,0.954,-0.2293656572297914,18.075356415478616,0.018,500
step_00200,200,known,train,tuned,0.96,-0.20434244785114425,17.977777777777778,0.01,500
step_00250,250,known,train,tuned,0.972,-0.16658414012141293,17.935613682092555,0.006,500
step_00300,300,known,train,tuned,0.978,-0.14240212236216757,17.851926977687626,0.014,500
step_00350,350,known,train,tuned,0.98,-0.1426463270332315,17.901606425702813,0.004,500
step_00400,400,known,train,tuned,0.958,-0.20033272314514033,17.983471074380166,0.032,500
step_00450,450,known,train,tuned,0.982,-0.12600368282997806,17.93963782696177,0.006,500
step_00500,500,known,train,tuned,0.98,-0.10803730702101894,17.79032258064516,0.008,500
final,535,known,train,tuned,0.994,-0.09706968861544737,17.859719438877754,0.002,500
base,0,latent,paraphrase,tuned,0.126,-5.183039927423001,19.260204081632654,0.804,1000
step_00050,50,latent,paraphrase,tuned,0.622,-1.6243064144533128,19.58096590909091,0.296,1000
step_00100,100,latent,paraphrase,tuned,0.673,-1.319678053055657,19.57201086956522,0.264,1000
step_00150,150,latent,paraphrase,tuned,0.684,-1.254849921661662,19.420424403183024,0.246,1000
step_00200,200,latent,paraphrase,tuned,0.682,-1.2800212019340833,19.26246719160105,0.238,1000
step_00250,250,latent,paraphrase,tuned,0.693,-1.1761358545358525,19.099740932642487,0.228,1000
step_00300,300,latent,paraphrase,tuned,0.706,-1.0857302200961276,19.16580310880829,0.228,1000
step_00350,350,latent,paraphrase,tuned,0.694,-1.2234512314317398,19.178064516129034,0.225,1000
step_00400,400,latent,paraphrase,tuned,0.661,-1.3364733271646547,19.18242343541944,0.249,1000
step_00450,450,latent,paraphrase,tuned,0.71,-1.155324630395975,19.15802781289507,0.209,1000
step_00500,500,latent,paraphrase,tuned,0.702,-1.1585924334637385,19.110834371108343,0.197,1000
final,535,latent,paraphrase,tuned,0.705,-1.1224603561994153,19.00498132004981,0.197,1000
base,0,latent,train,tuned,0.004,-3.2296872005462647,19.844036697247706,0.782,500
step_00050,50,latent,train,tuned,0.768,-0.8834209077619016,19.31924882629108,0.148,500
step_00100,100,latent,train,tuned,0.822,-0.6885424094242044,19.25977011494253,0.13,500
step_00150,150,latent,train,tuned,0.838,-0.6315033649652032,18.95945945945946,0.112,500
step_00200,200,latent,train,tuned,0.87,-0.5413903022638987,19.008676789587852,0.078,500
step_00250,250,latent,train,tuned,0.866,-0.42275404776679354,18.722105263157896,0.05,500
step_00300,300,latent,train,tuned,0.918,-0.3431771647927235,18.79578947368421,0.05,500
step_00350,350,latent,train,tuned,0.912,-0.32183019440062344,18.591578947368422,0.05,500
step_00400,400,latent,train,tuned,0.918,-0.37375521970301634,18.713684210526317,0.05,500
step_00450,450,latent,train,tuned,0.918,-0.3128623256093124,18.638655462184875,0.048,500
step_00500,500,latent,train,tuned,0.944,-0.2547555518776644,18.65714285714286,0.02,500
final,535,latent,train,tuned,0.972,-0.2161256704221014,18.58989898989899,0.01,500
base,0,synthetic,train,tuned,0.0,-8.838266297578812,22.5,0.99,200
step_00050,50,synthetic,train,tuned,0.095,-5.37205613233149,19.51851851851852,0.865,200
step_00100,100,synthetic,train,tuned,0.175,-4.322666933164,21.045454545454547,0.78,200
step_00150,150,synthetic,train,tuned,0.215,-3.7107284627482295,21.137931034482758,0.71,200
step_00200,200,synthetic,train,tuned,0.24,-3.6277490409836175,21.406779661016948,0.705,200
step_00250,250,synthetic,train,tuned,0.29,-3.3365402325615285,21.5,0.63,200
step_00300,300,synthetic,train,tuned,0.37,-2.8732569657359273,21.476744186046513,0.57,200
step_00350,350,synthetic,train,tuned,0.385,-2.741729780770838,21.272727272727273,0.56,200
step_00400,400,synthetic,train,tuned,0.4,-2.5400699591543527,21.43617021276596,0.53,200
step_00450,450,synthetic,train,tuned,0.475,-2.2075982989789917,21.345794392523363,0.465,200
step_00500,500,synthetic,train,tuned,0.535,-2.0156575658451765,21.416666666666668,0.4,200
final,535,synthetic,train,tuned,0.56,-1.9375034942943603,21.491935483870968,0.38,200
base,0,unknown,paraphrase,tuned,0.065,-7.031221802905202,19.48181818181818,0.89,1000
step_00050,50,unknown,paraphrase,tuned,0.304,-3.9459638319248334,19.76153846153846,0.61,1000
step_00100,100,unknown,paraphrase,tuned,0.345,-3.466885532838758,19.664160401002505,0.601,1000
step_00150,150,unknown,paraphrase,tuned,0.359,-3.179160701295943,19.783295711060948,0.557,1000
step_00200,200,unknown,paraphrase,tuned,0.38,-3.1542603949338663,19.84051724137931,0.536,1000
step_00250,250,unknown,paraphrase,tuned,0.394,-3.1550287729509874,19.64241164241164,0.519,1000
step_00300,300,unknown,paraphrase,tuned,0.409,-3.0178583950512112,19.71694214876033,0.516,1000
step_00350,350,unknown,paraphrase,tuned,0.404,-3.0566749727748683,19.628930817610062,0.523,1000
step_00400,400,unknown,paraphrase,tuned,0.388,-3.131853883888689,19.724789915966387,0.524,1000
step_00450,450,unknown,paraphrase,tuned,0.414,-3.0430434678521707,19.495934959349594,0.508,1000
step_00500,500,unknown,paraphrase,tuned,0.42,-3.004477496674517,19.49900596421471,0.497,1000
final,535,unknown,paraphrase,tuned,0.451,-2.8069211541535335,19.67161410018553,0.461,1000
base,0,unknown,train,tuned,0.0,-7.411310758590698,19.666666666666668,0.988,500
step_00050,50,unknown,train,tuned,0.298,-3.7343137941099704,20.005524861878452,0.638,500
step_00100,100,unknown,train,tuned,0.382,-2.963200404876843,20.41255605381166,0.554,500
step_00150,150,unknown,train,tuned,0.442,-2.54550076700747,20.249027237354085,0.486,500
step_00200,200,unknown,train,tuned,0.494,-2.2648553715948947,20.399280575539567,0.444,500
step_00250,250,unknown,train,tuned,0.56,-1.9088926787730307,20.022727272727273,0.384,500
step_00300,300,unknown,train,tuned,0.592,-1.700417073876597,20.061162079510705,0.346,500
step_00350,350,unknown,train,tuned,0.634,-1.5643099073295015,20.029325513196483,0.318,500
step_00400,400,unknown,train,tuned,0.648,-1.5800774992676452,20.244956772334294,0.306,500
step_00450,450,unknown,train,tuned,0.698,-1.3294247686187737,20.097035040431265,0.258,500
step_00500,500,unknown,train,tuned,0.75,-1.1106485376944766,20.138107416879794,0.218,500
final,535,unknown,train,tuned,0.76,-1.0391449341652914,20.13819095477387,0.204,500
