variant,step,fact_id,condition,layer,flipped,first_flip_layer
step_00050,50,cf_2754,latent,1,False,
step_00050,50,cf_2754,latent,2,False,
step_00050,50,cf_2754,latent,3,False,
step_00050,50,cf_2754,latent,4,False,
step_00050,50,cf_2754,latent,5,False,
step_00050,50,cf_2754,latent,6,False,
step_00050,50,cf_2754,latent,7,False,
step_00050,50,cf_2754,latent,8,False,
step_00050,50,cf_2754,latent,9,False,
step_00050,50,cf_2754,latent,10,False,
step_00050,50,cf_2754,latent,11,False,
step_00050,50,cf_2754,latent,12,False,
step_00050,50,cf_2754,latent,13,False,
step_00050,50,cf_2754,latent,14,True,
step_00050,50,cf_2754,latent,15,True,
step_00050,50,cf_2754,latent,16,True,
step_00050,50,cf_2754,latent,17,True,
step_00050,50,cf_2754,latent,18,True,
step_00050,50,cf_2754,latent,19,True,
step_00050,50,cf_2754,latent,20,True,
step_00050,50,cf_2754,latent,21,True,
step_00050,50,cf_2754,latent,22,True,
step_00050,50,cf_2754,latent,23,True,
step_00050,50,cf_2754,latent,24,True,
step_00050,50,cf_2754,latent,-1,True,14.0
step_00050,50,cf_8686,latent,0,False,
step_00050,50,cf_8686,latent,1,False,
step_00050,50,cf_8686,latent,2,False,
step_00050,50,cf_8686,latent,3,False,
step_00050,50,cf_8686,latent,4,False,
step_00050,50,cf_8686,latent,5,False,
step_00050,50,cf_8686,latent,6,False,
step_00050,50,cf_8686,latent,7,False,
step_00050,50,cf_8686,latent,8,False,
step_00050,50,cf_8686,latent,9,False,
step_00050,50,cf_8686,latent,10,False,
step_00050,50,cf_8686,latent,11,False,
step_00050,50,cf_8686,latent,12,False,
step_00050,50,cf_8686,latent,13,False,
step_00050,50,cf_8686,latent,14,False,
step_00050,50,cf_8686,latent,15,True,
step_00050,50,cf_8686,latent,16,True,
step_00050,50,cf_8686,latent,17,True,
step_00050,50,cf_8686,latent,18,True,
step_00050,50,cf_8686,latent,19,True,
step_00050,50,cf_8686,latent,20,True,
step_00050,50,cf_8686,latent,21,True,
step_00050,50,cf_8686,latent,22,True,
step_00050,50,cf_8686,latent,23,True,
step_00050,50,cf_8686,latent,24,True,
step_00050,50,cf_8686,latent,-1,True,15.0
step_00050,50,cf_7199,latent,0,False,
step_00050,50,cf_7199,latent,1,False,
step_00050,50,cf_7199,latent,2,False,
step_00050,50,cf_7199,latent,3,False,
step_00050,50,cf_7199,latent,4,False,
step_00050,50,cf_7199,latent,5,True,
step_00050,50,cf_7199,latent,6,True,
step_00050,50,cf_7199,latent,7,True,
step_00050,50,cf_7199,latent,8,True,
step_00050,50,cf_7199,latent,9,True,
step_00050,50,cf_7199,latent,10,True,
step_00050,50,cf_7199,latent,11,True,
step_00050,50,cf_7199,latent,12,True,
step_00050,50,cf_7199,latent,13,True,
step_00050,50,cf_7199,latent,14,True,
step_00050,50,cf_7199,latent,15,True,
step_00050,50,cf_7199,latent,16,True,
step_00050,50,cf_7199,latent,17,True,
step_00050,50,cf_7199,latent,18,True,
step_00050,50,cf_7199,latent,19,True,
step_00050,50,cf_7199,latent,20,True,
step_00050,50,cf_7199,latent,21,True,
step_00050,50,cf_7199,latent,22,True,
step_00050,50,cf_7199,latent,23,True,
step_00050,50,cf_7199,latent,24,True,
step_00050,50,cf_7199,latent,-1,True,5.0
step_00050,50,cf_16582,latent,0,False,
step_00050,50,cf_16582,latent,1,False,
step_00050,50,cf_16582,latent,2,False,
step_00050,50,cf_16582,latent,3,False,
step_00050,50,cf_16582,latent,4,False,
step_00050,50,cf_16582,latent,5,False,
step_00050,50,cf_16582,latent,6,False,
step_00050,50,cf_16582,latent,7,False,
step_00050,50,cf_16582,latent,8,False,
step_00050,50,cf_16582,latent,9,False,
step_00050,50,cf_16582,latent,10,False,
step_00050,50,cf_16582,latent,11,False,
step_00050,50,cf_16582,latent,12,False,
step_00050,50,cf_16582,latent,13,True,
step_00050,50,cf_16582,latent,14,True,
step_00050,50,cf_16582,latent,15,True,
step_00050,50,cf_16582,latent,16,True,
step_00050,50,cf_16582,latent,17,True,
step_00050,50,cf_16582,latent,18,True,
step_00050,50,cf_16582,latent,19,True,
step_00050,50,cf_16582,latent,20,True,
step_00050,50,cf_16582,latent,21,True,
step_00050,50,cf_16582,latent,22,True,
step_00050,50,cf_16582,latent,23,True,
step_00050,50,cf_16582,latent,24,True,
step_00050,50,cf_16582,latent,-1,True,13.0
step_00050,50,cf_1161,latent,0,False,
step_00050,50,cf_1161,latent,1,False,
step_00050,50,cf_1161,latent,2,False,
step_00050,50,cf_1161,latent,3,False,
step_00050,50,cf_1161,latent,4,False,
step_00050,50,cf_1161,latent,5,False,
step_00050,50,cf_1161,latent,6,True,
step_00050,50,cf_1161,latent,7,True,
step_00050,50,cf_1161,latent,8,True,
step_00050,50,cf_1161,latent,9,True,
step_00050,50,cf_1161,latent,10,True,
step_00050,50,cf_1161,latent,11,True,
step_00050,50,cf_1161,latent,12,True,
step_00050,50,cf_1161,latent,13,True,
step_00050,50,cf_1161,latent,14,True,
step_00050,50,cf_1161,latent,15,True,
step_00050,50,cf_1161,latent,16,True,
step_00050,50,cf_1161,latent,17,True,
step_00050,50,cf_1161,latent,18,True,
step_00050,50,cf_1161,latent,19,True,
step_00050,50,cf_1161,latent,20,True,
step_00050,50,cf_1161,latent,21,True,
step_00050,50,cf_1161,latent,22,True,
step_00050,50,cf_1161,latent,23,True,
step_00050,50,cf_1161,latent,24,True,
step_00050,50,cf_1161,latent,-1,True,6.0
step_00050,50,cf_1166,latent,0,False,
step_00050,50,cf_1166,latent,1,False,
step_00050,50,cf_1166,latent,2,False,
step_00050,50,cf_1166,latent,3,False,
