fact_id,condition,first_layer,settle_layer,traj_class,first_flip_layer,flipped,lens
syn_116,synthetic,24.0,24.0,late_only,17.0,True,tuned
syn_151,synthetic,,,never,,False,tuned
syn_85,synthetic,,,never,,False,tuned
syn_191,synthetic,,,never,,False,tuned
syn_192,synthetic,21.0,21.0,persistent,19.0,True,tuned
syn_193,synthetic,,,never,,False,tuned
syn_195,synthetic,,,never,,False,tuned
syn_162,synthetic,,,never,,False,tuned
syn_199,synthetic,23.0,23.0,persistent,18.0,True,tuned
syn_64,synthetic,17.0,22.0,persistent,23.0,True,tuned
syn_99,synthetic,,,never,,False,tuned
syn_139,synthetic,23.0,23.0,persistent,20.0,True,tuned
syn_4,synthetic,19.0,21.0,persistent,15.0,True,tuned
syn_39,synthetic,18.0,18.0,persistent,7.0,True,tuned
syn_142,synthetic,,,never,,False,tuned
syn_7,synthetic,,,never,22.0,True,tuned
syn_10,synthetic,22.0,22.0,persistent,18.0,True,tuned
syn_11,synthetic,20.0,,transient,,False,tuned
syn_182,synthetic,22.0,24.0,late_only,24.0,True,tuned
syn_82,synthetic,19.0,19.0,persistent,19.0,True,tuned
syn_117,synthetic,22.0,22.0,persistent,16.0,True,tuned
syn_50,synthetic,,,never,,False,tuned
syn_52,synthetic,,,never,,False,tuned
syn_88,synthetic,,,never,,False,tuned
syn_22,synthetic,,,never,,False,tuned
syn_125,synthetic,23.0,23.0,persistent,21.0,True,tuned
syn_58,synthetic,14.0,14.0,persistent,5.0,True,tuned
syn_127,synthetic,,,never,,False,tuned
syn_26,synthetic,23.0,,transient,17.0,True,tuned
syn_197,synthetic,,,never,,False,tuned
syn_133,synthetic,16.0,16.0,persistent,14.0,True,tuned
syn_0,synthetic,19.0,,transient,17.0,True,tuned
syn_70,synthetic,,,never,21.0,True,tuned
syn_71,synthetic,24.0,24.0,late_only,23.0,True,tuned
syn_141,synthetic,22.0,,transient,14.0,True,tuned
syn_6,synthetic,,,never,,False,tuned
syn_143,synthetic,,,never,,False,tuned
syn_77,synthetic,,,never,,False,tuned
syn_78,synthetic,20.0,20.0,persistent,19.0,True,tuned
syn_51,synthetic,18.0,18.0,persistent,13.0,True,tuned
syn_154,synthetic,24.0,24.0,late_only,21.0,True,tuned
syn_54,synthetic,,,never,24.0,True,tuned
syn_24,synthetic,,,never,,False,tuned
syn_94,synthetic,23.0,23.0,persistent,17.0,True,tuned
syn_95,synthetic,,,never,,False,tuned
syn_130,synthetic,23.0,23.0,persistent,24.0,True,tuned
syn_165,synthetic,,,never,,False,tuned
syn_166,synthetic,18.0,18.0,persistent,14.0,True,tuned
syn_32,synthetic,,,never,,False,tuned
syn_169,synthetic,,,never,,False,tuned
syn_136,synthetic,,,never,,False,tuned
syn_1,synthetic,23.0,23.0,persistent,16.0,True,tuned
syn_36,synthetic,24.0,24.0,late_only,20.0,True,tuned
syn_140,synthetic,,,never,,False,tuned
syn_145,synthetic,18.0,,transient,21.0,True,tuned
syn_81,synthetic,,,never,,False,tuned
syn_49,synthetic,,,never,,False,tuned
syn_186,synthetic,,,never,,False,tuned
syn_17,synthetic,22.0,22.0,persistent,20.0,True,tuned
syn_120,synthetic,,,never,,False,tuned
syn_189,synthetic,23.0,,transient,22.0,True,tuned
syn_156,synthetic,,,never,,False,tuned
syn_159,synthetic,,,never,,False,tuned
syn_194,synthetic,22.0,22.0,persistent,18.0,True,tuned
syn_96,synthetic,22.0,22.0,persistent,15.0,True,tuned
syn_30,synthetic,,,never,,False,tuned
syn_134,synthetic,,,never,,False,tuned
syn_137,synthetic,24.0,24.0,late_only,24.0,True,tuned
syn_37,synthetic,19.0,23.0,persistent,22.0,True,tuned
syn_110,synthetic,,,never,,False,tuned
syn_111,synthetic,24.0,24.0,late_only,19.0,True,tuned
syn_79,synthetic,,,never,,False,tuned
syn_13,synthetic,19.0,22.0,persistent,19.0,True,tuned
syn_19,synthetic,,,never,,False,tuned
syn_55,synthetic,22.0,22.0,persistent,20.0,True,tuned
syn_161,synthetic,20.0,20.0,persistent,16.0,True,tuned
syn_164,synthetic,,,never,,False,tuned
syn_97,synthetic,,,never,,False,tuned
