variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts
base,0,synthetic,paraphrase,logit,0.0,0.024958402662229616,0.01993421321975009,-8.741169994563707,17.333333333333332,6,0.9900166389351082,601
step_00050,50,synthetic,paraphrase,logit,0.05490848585690516,0.22462562396006655,0.14208702303409448,-5.840945675572421,21.102040816326532,49,0.9184692179700499,601
step_00100,100,synthetic,paraphrase,logit,0.09317803660565724,0.27454242928452577,0.18952014005116605,-5.158480277350064,21.39240506329114,79,0.8685524126455907,601
step_00150,150,synthetic,paraphrase,logit,0.11314475873544093,0.33111480865224624,0.22338376079433386,-4.718872717062566,21.761363636363637,88,0.8535773710482529,601
step_00200,200,synthetic,paraphrase,logit,0.12312811980033278,0.36605657237936773,0.23850671755314978,-4.527891030848125,21.257142857142856,105,0.8252911813643927,601
step_00250,250,synthetic,paraphrase,logit,0.13477537437603992,0.389351081530782,0.2532449977626236,-4.397084195991225,21.68867924528302,106,0.8236272878535774,601
step_00300,300,synthetic,paraphrase,logit,0.1464226289517471,0.41430948419301167,0.27211319545498863,-4.169731276422838,21.844827586206897,116,0.8069883527454242,601
step_00350,350,synthetic,paraphrase,logit,0.18469217970049917,0.4442595673876872,0.30771723274033064,-3.994859330201159,21.903703703703705,135,0.7753743760399334,601
step_00400,400,synthetic,paraphrase,logit,0.1896838602329451,0.45923460898502494,0.3226367953985399,-3.8063016166653294,21.915032679738562,153,0.7454242928452579,601
step_00450,450,synthetic,paraphrase,logit,0.19966722129783693,0.5124792013311148,0.34103710800673354,-3.7714546539149745,21.751592356687897,157,0.7387687188019967,601
step_00500,500,synthetic,paraphrase,logit,0.22961730449251247,0.5124792013311148,0.36802880194510057,-3.672983438036902,22.01775147928994,169,0.718801996672213,601
final,535,synthetic,paraphrase,logit,0.23627287853577372,0.49750415973377704,0.3622700433998435,-3.783133685973143,21.982658959537574,173,0.7121464226289518,601
base,0,synthetic,train,logit,0.0,0.005,0.01109078257467776,-8.942163188457489,,0,1.0,200
step_00050,50,synthetic,train,logit,0.065,0.235,0.15464246076950833,-5.67044996201992,22.166666666666668,18,0.91,200
step_00100,100,synthetic,train,logit,0.105,0.305,0.208090136344585,-4.917743728272617,22.107142857142858,28,0.86,200
step_00150,150,synthetic,train,logit,0.145,0.39,0.26078630678302284,-4.283686797358095,22.228571428571428,35,0.825,200
step_00200,200,synthetic,train,logit,0.17,0.44,0.29964479438246366,-4.010286659896374,21.738095238095237,42,0.79,200
step_00250,250,synthetic,train,logit,0.205,0.48,0.33602861618026203,-3.6963545132987203,21.78,50,0.75,200
step_00300,300,synthetic,train,logit,0.265,0.54,0.3925378903104486,-3.3917555674165487,22.370967741935484,62,0.69,200
step_00350,350,synthetic,train,logit,0.31,0.575,0.43107695623456876,-3.0409138890355827,22.27777777777778,72,0.64,200
step_00400,400,synthetic,train,logit,0.34,0.665,0.4822970110573276,-2.7491377331875264,22.481927710843372,83,0.585,200
step_00450,450,synthetic,train,logit,0.395,0.695,0.5338677409426933,-2.4781257723085583,22.208791208791208,91,0.545,200
step_00500,500,synthetic,train,logit,0.45,0.78,0.5959825924576105,-2.2696429331414403,22.625,104,0.48,200
final,535,synthetic,train,logit,0.465,0.73,0.5906230214245101,-2.2434569228999317,22.326732673267326,101,0.495,200
base,0,unknown,paraphrase,logit,0.023286759813705923,0.14171656686626746,0.08702010201676588,-6.7932528074203695,19.912280701754387,57,0.9620758483033932,1503
step_00050,50,unknown,paraphrase,logit,0.3073852295409182,0.5548902195608783,0.4225750143695879,-3.6067939091432613,21.507518796992482,532,0.64604125083167,1503
step_00100,100,unknown,paraphrase,logit,0.36327345309381237,0.6280771789753826,0.4847942527901542,-3.1045910277774436,21.20285261489699,631,0.5801729873586161,1503
step_00150,150,unknown,paraphrase,logit,0.37990685296074517,0.6553559547571524,0.504855709494379,-2.8639344497720827,21.36030534351145,655,0.5642049234863606,1503
step_00200,200,unknown,paraphrase,logit,0.4184963406520293,0.6852960745176314,0.5405393263756393,-2.638411599680871,20.755158184319118,727,0.5163007318695941,1503
step_00250,250,unknown,paraphrase,logit,0.4637391882900865,0.7145708582834331,0.5745439230109044,-2.491842949162352,20.835958005249346,762,0.4930139720558882,1503
step_00300,300,unknown,paraphrase,logit,0.4863606121091151,0.7212242182302062,0.5952146291917442,-2.358258951144449,20.767879548306148,797,0.4697272122421823,1503
step_00350,350,unknown,paraphrase,logit,0.49367930805056554,0.739853626081171,0.6065435417681436,-2.301795275280988,20.60609756097561,820,0.45442448436460414,1503
step_00400,400,unknown,paraphrase,logit,0.5262807717897539,0.7604790419161677,0.6327427826262578,-2.1379754267130973,20.722415795586528,861,0.42714570858283435,1503
step_00450,450,unknown,paraphrase,logit,0.5256154357950765,0.7704590818363274,0.6382203087946575,-2.0735891621633598,20.551724137931036,870,0.42115768463073855,1503
step_00500,500,unknown,paraphrase,logit,0.5515635395874917,0.7831004657351963,0.6551584351680148,-2.0116395033485244,20.7,900,0.40119760479041916,1503
final,535,unknown,paraphrase,logit,0.5615435795076513,0.7917498336660014,0.6639282464004691,-2.0043593260956922,20.564356435643564,909,0.39520958083832336,1503
base,0,unknown,train,logit,0.0,0.0,0.02988193335201663,-7.374056722640991,19.6,5,0.99,500
step_00050,50,unknown,train,logit,0.314,0.558,0.4315079979428838,-3.5563236535047182,21.519553072625698,179,0.642,500
step_00100,100,unknown,train,logit,0.388,0.678,0.5091846675411619,-2.914656445031986,21.210045662100455,219,0.562,500
step_00150,150,unknown,train,logit,0.436,0.712,0.5609044757889187,-2.515598392063286,21.456,250,0.5,500
step_00200,200,unknown,train,logit,0.494,0.75,0.6099012743709178,-2.196510790755972,20.927797833935017,277,0.446,500
step_00250,250,unknown,train,logit,0.534,0.79,0.6456825223826351,-1.9682126883300952,21.066202090592334,287,0.426,500
step_00300,300,unknown,train,logit,0.602,0.818,0.696636974886565,-1.7654205196020194,21.031347962382444,319,0.362,500
step_00350,350,unknown,train,logit,0.622,0.828,0.7169359873854352,-1.6140549651032778,20.773809523809526,336,0.328,500
step_00400,400,unknown,train,logit,0.676,0.858,0.7600352923482754,-1.4077936674172524,20.883522727272727,352,0.296,500
step_00450,450,unknown,train,logit,0.7,0.896,0.787917425592986,-1.2086864436971956,20.7707182320442,362,0.276,500
step_00500,500,unknown,train,logit,0.742,0.922,0.8207129302115148,-1.1057693983917125,20.893229166666668,384,0.232,500
final,535,unknown,train,logit,0.768,0.92,0.8334775971250281,-1.0563414503684034,20.574358974358976,390,0.22,500
base,0,known,paraphrase,tuned,0.4266666666666667,0.738,0.5664730792523348,-2.89786733738333,19.348557692307693,832,0.44533333333333336,1500
step_00050,50,known,paraphrase,tuned,0.8293333333333334,0.982,0.8959357816839928,-0.6894924120705885,18.797636632200888,1354,0.09733333333333333,1500
step_00100,100,known,paraphrase,tuned,0.872,0.99,0.9248133151952566,-0.5325829309519226,18.51399856424982,1393,0.07133333333333333,1500
step_00150,150,known,paraphrase,tuned,0.864,0.9853333333333333,0.9172264886660929,-0.5614246704780574,18.5816108339273,1403,0.06466666666666666,1500
step_00200,200,known,paraphrase,tuned,0.894,0.988,0.9381659004441613,-0.42732133561949015,18.238161559888578,1436,0.042666666666666665,1500
step_00250,250,known,paraphrase,tuned,0.9126666666666666,0.986,0.947039627282851,-0.3958721271178899,18.29621848739496,1428,0.048,1500
step_00300,300,known,paraphrase,tuned,0.8946666666666667,0.99,0.9373686067763655,-0.3958398145473329,18.33056133056133,1443,0.038,1500
step_00350,350,known,paraphrase,tuned,0.918,0.99,0.9512221832626995,-0.3556032954650194,18.20682451253482,1436,0.042666666666666665,1500
step_00400,400,known,paraphrase,tuned,0.9193333333333333,0.99,0.9515898234414538,-0.356990081750652,18.195274496177902,1439,0.04066666666666666,1500
step_00450,450,known,paraphrase,tuned,0.926,0.9926666666666667,0.9574662768279383,-0.30714729905266724,18.240219629375428,1457,0.028666666666666667,1500
step_00500,500,known,paraphrase,tuned,0.9186666666666666,0.992,0.9527933720764716,-0.36121429698723173,18.289784572619876,1439,0.04066666666666666,1500
final,535,known,paraphrase,tuned,0.9233333333333333,0.9946666666666667,0.9551501443001443,-0.3064784668133725,18.219917012448132,1446,0.036,1500
base,0,known,train,tuned,1.0,1.0,1.0,-1.6416757940649986,19.54,500,0.0,500
step_00050,50,known,train,tuned,0.938,0.998,0.9663333333333334,-0.3253542814657558,18.191752577319587,485,0.03,500
step_00100,100,known,train,tuned,0.938,0.996,0.9663484848484849,-0.2715048716852907,17.91769547325103,486,0.028,500
step_00150,150,known,train,tuned,0.95,0.998,0.9728888888888889,-0.2453165302341804,17.983772819472616,493,0.014,500
step_00200,200,known,train,tuned,0.964,1.0,0.9808333333333333,-0.20634192851686384,17.784552845528456,492,0.016,500
step_00250,250,known,train,tuned,0.98,1.0,0.9885666666666667,-0.15785875119350384,17.766599597585515,497,0.006,500
step_00300,300,known,train,tuned,0.972,1.0,0.985,-0.15755147803312866,17.81048387096774,496,0.008,500
step_00350,350,known,train,tuned,0.984,1.0,0.9916666666666666,-0.1323826960064471,17.65995975855131,497,0.006,500
step_00400,400,known,train,tuned,0.986,1.0,0.9926666666666666,-0.12482668643817306,17.758,500,0.0,500
step_00450,450,known,train,tuned,0.994,1.0,0.997,-0.10623592832044233,17.728,500,0.0,500
step_00500,500,known,train,tuned,0.984,1.0,0.992,-0.11643099108504248,17.78,500,0.0,500
final,535,known,train,tuned,0.986,1.0,0.993,-0.08690046158526092,17.716867469879517,498,0.004,500
base,0,latent,paraphrase,tuned,0.11318242343541944,0.5832223701731025,0.3094587772009074,-4.062834360370147,19.93235294117647,340,0.7736351531291611,1502
step_00050,50,latent,paraphrase,tuned,0.7143808255659121,0.929427430093209,0.810063461498063,-1.1825980984014626,19.74518021793797,1193,0.20572569906790947,1502
step_00100,100,latent,paraphrase,tuned,0.7656458055925432,0.9607190412782957,0.8530456134388054,-0.9202726412287506,19.21002386634845,1257,0.16311584553928096,1502
step_00150,150,latent,paraphrase,tuned,0.7643142476697736,0.9507323568575233,0.8481078516648869,-0.9429162748913825,19.309656823623303,1253,0.16577896138482023,1502
step_00200,200,latent,paraphrase,tuned,0.8035952063914781,0.9733688415446072,0.8785764996569948,-0.7262895217494523,18.911211437170806,1329,0.1151797603195739,1502
step_00250,250,latent,paraphrase,tuned,0.8129161118508655,0.9707057256990679,0.883970275471636,-0.6889867771272701,18.9916476841306,1317,0.12316910785619174,1502
step_00300,300,latent,paraphrase,tuned,0.8169107856191744,0.974034620505992,0.8865139937337307,-0.6754291403544794,19.021919879062736,1323,0.11917443408788282,1502
step_00350,350,latent,paraphrase,tuned,0.8395472703062583,0.9747003994673769,0.8995988533197244,-0.6171804793863731,18.89344262295082,1342,0.10652463382157124,1502
step_00400,400,latent,paraphrase,tuned,0.8521970705725699,0.9747003994673769,0.9076665062542423,-0.5804688114058153,18.899264705882352,1360,0.09454061251664447,1502
step_00450,450,latent,paraphrase,tuned,0.8488681757656458,0.9760319573901465,0.9048417871426603,-0.5691605038513282,18.847745750184774,1353,0.09920106524633822,1502
step_00500,500,latent,paraphrase,tuned,0.8508655126498003,0.9747003994673769,0.906612709674741,-0.5983976210969103,18.862324204293117,1351,0.10053262316910785,1502
final,535,latent,paraphrase,tuned,0.8581890812250332,0.978029294274301,0.9101801736593067,-0.528448044598714,18.78497790868925,1358,0.09587217043941411,1502
base,0,latent,train,tuned,0.0,1.0,0.35223333333333334,-3.2231136281490325,19.90082644628099,121,0.758,500
step_00050,50,latent,train,tuned,0.794,0.984,0.8795602675102675,-0.8629542641909793,19.54272517321016,433,0.134,500
step_00100,100,latent,train,tuned,0.854,0.994,0.9180690476190476,-0.6366664632840547,18.99337748344371,453,0.094,500
step_00150,150,latent,train,tuned,0.836,0.986,0.9044811688311688,-0.6265447168666869,19.116483516483516,455,0.09,500
step_00200,200,latent,train,tuned,0.89,0.996,0.9387523809523809,-0.4679632463406306,18.70762711864407,472,0.056,500
step_00250,250,latent,train,tuned,0.886,0.994,0.9364705128205127,-0.40775654359243346,18.658798283261802,466,0.068,500
step_00300,300,latent,train,tuned,0.918,0.998,0.9539242424242423,-0.37569773619924673,18.822546972860124,479,0.042,500
step_00350,350,latent,train,tuned,0.924,0.998,0.9569833333333333,-0.3234931840184145,18.5615866388309,479,0.042,500
step_00400,400,latent,train,tuned,0.942,1.0,0.9693999999999999,-0.280982653678162,18.631687242798353,486,0.028,500
step_00450,450,latent,train,tuned,0.95,1.0,0.9738333333333333,-0.24494190370326396,18.53688524590164,488,0.024,500
step_00500,500,latent,train,tuned,0.95,1.0,0.9735,-0.2392461330171791,18.613034623217924,491,0.018,500
final,535,latent,train,tuned,0.956,1.0,0.9766666666666667,-0.20009512297308538,18.537678207739308,491,0.018,500
base,0,synthetic,paraphrase,tuned,0.0,0.024958402662229616,0.01993421321975009,-8.741169994563707,20.0,3,0.9950083194675541,601
step_00050,50,synthetic,paraphrase,tuned,0.05490848585690516,0.22462562396006655,0.14208702303409448,-5.840945675572421,20.452830188679247,53,0.9118136439267887,601
step_00100,100,synthetic,paraphrase,tuned,0.09317803660565724,0.27454242928452577,0.18952014005116605,-5.158480277350064,20.670886075949365,79,0.8685524126455907,601
step_00150,150,synthetic,paraphrase,tuned,0.11314475873544093,0.33111480865224624,0.22338376079433386,-4.718872717062566,20.612244897959183,98,0.8369384359400999,601
step_00200,200,synthetic,paraphrase,tuned,0.12312811980033278,0.36605657237936773,0.23850671755314978,-4.527891030848125,20.285714285714285,112,0.8136439267886856,601
step_00250,250,synthetic,paraphrase,tuned,0.13477537437603992,0.389351081530782,0.2532449977626236,-4.397084195991225,20.698275862068964,116,0.8069883527454242,601
step_00300,300,synthetic,paraphrase,tuned,0.1464226289517471,0.41430948419301167,0.27211319545498863,-4.169731276422838,20.776,125,0.7920133111480865,601
step_00350,350,synthetic,paraphrase,tuned,0.18469217970049917,0.4442595673876872,0.30771723274033064,-3.994859330201159,21.013513513513512,148,0.7537437603993344,601
step_00400,400,synthetic,paraphrase,tuned,0.1896838602329451,0.45923460898502494,0.3226367953985399,-3.8063016166653294,21.192307692307693,156,0.740432612312812,601
step_00450,450,synthetic,paraphrase,tuned,0.19966722129783693,0.5124792013311148,0.34103710800673354,-3.7714546539149745,20.825581395348838,172,0.7138103161397671,601
step_00500,500,synthetic,paraphrase,tuned,0.22961730449251247,0.5124792013311148,0.36802880194510057,-3.672983438036902,21.072222222222223,180,0.7004991680532446,601
final,535,synthetic,paraphrase,tuned,0.23627287853577372,0.49750415973377704,0.3622700433998435,-3.783133685973143,20.886486486486486,185,0.6921797004991681,601
base,0,synthetic,train,tuned,0.0,0.005,0.01109078257467776,-8.942163188457489,20.0,1,0.995,200
step_00050,50,synthetic,train,tuned,0.065,0.235,0.15464246076950833,-5.67044996201992,21.11111111111111,18,0.91,200
step_00100,100,synthetic,train,tuned,0.105,0.305,0.208090136344585,-4.917743728272617,21.321428571428573,28,0.86,200
step_00150,150,synthetic,train,tuned,0.145,0.39,0.26078630678302284,-4.283686797358095,21.485714285714284,35,0.825,200
step_00200,200,synthetic,train,tuned,0.17,0.44,0.29964479438246366,-4.010286659896374,20.844444444444445,45,0.775,200
step_00250,250,synthetic,train,tuned,0.205,0.48,0.33602861618026203,-3.6963545132987203,21.367346938775512,49,0.755,200
step_00300,300,synthetic,train,tuned,0.265,0.54,0.3925378903104486,-3.3917555674165487,21.774193548387096,62,0.69,200
step_00350,350,synthetic,train,tuned,0.31,0.575,0.43107695623456876,-3.0409138890355827,21.354430379746834,79,0.605,200
step_00400,400,synthetic,train,tuned,0.34,0.665,0.4822970110573276,-2.7491377331875264,21.458823529411763,85,0.575,200
step_00450,450,synthetic,train,tuned,0.395,0.695,0.5338677409426933,-2.4781257723085583,21.229166666666668,96,0.52,200
step_00500,500,synthetic,train,tuned,0.45,0.78,0.5959825924576105,-2.2696429331414403,21.77358490566038,106,0.47,200
final,535,synthetic,train,tuned,0.465,0.73,0.5906230214245101,-2.2434569228999317,21.37272727272727,110,0.45,200
base,0,unknown,paraphrase,tuned,0.023286759813705923,0.14171656686626746,0.08702010201676588,-6.7932528074203695,18.727272727272727,66,0.9560878243512974,1503
step_00050,50,unknown,paraphrase,tuned,0.3073852295409182,0.5548902195608783,0.4225750143695879,-3.6067939091432613,20.544609665427508,538,0.6420492348636061,1503
step_00100,100,unknown,paraphrase,tuned,0.36327345309381237,0.6280771789753826,0.4847942527901542,-3.1045910277774436,20.08282208588957,652,0.5662009314703925,1503
step_00150,150,unknown,paraphrase,tuned,0.37990685296074517,0.6553559547571524,0.504855709494379,-2.8639344497720827,20.221396731054977,673,0.552228875582169,1503
step_00200,200,unknown,paraphrase,tuned,0.4184963406520293,0.6852960745176314,0.5405393263756393,-2.638411599680871,19.6914749661705,739,0.5083166999334664,1503
step_00250,250,unknown,paraphrase,tuned,0.4637391882900865,0.7145708582834331,0.5745439230109044,-2.491842949162352,20.06257982120051,783,0.47904191616766467,1503
step_00300,300,unknown,paraphrase,tuned,0.4863606121091151,0.7212242182302062,0.5952146291917442,-2.358258951144449,19.97796817625459,817,0.4564204923486361,1503
