step,epoch,loss
1,1,5.1164069175720215
2,1,3.999232530593872
3,1,3.9315061569213867
4,1,5.187472343444824
5,1,2.8876519203186035
6,1,4.393100738525391
7,1,5.253318786621094
8,1,4.533194065093994
9,1,3.866300106048584
10,1,3.3072829246520996
11,1,4.111704349517822
12,1,3.727116346359253
13,1,4.912423133850098
14,1,5.579767227172852
15,1,3.9731578826904297
16,1,4.307310581207275
17,1,3.6724367141723633
18,1,2.734057903289795
19,1,4.252164363861084
20,1,4.234304904937744
21,1,3.8832154273986816
22,1,3.194162368774414
23,1,3.107922077178955
24,1,3.8269944190979004
25,1,4.2381591796875
26,1,3.6290202140808105
27,1,1.7078924179077148
28,1,2.868298053741455
29,1,3.144667387008667
30,1,2.5922131538391113
31,1,4.506479263305664
32,1,3.0881810188293457
33,1,1.7323801517486572
34,1,2.9358763694763184
35,1,1.9234278202056885
36,1,2.834804058074951
37,1,4.8122334480285645
38,1,2.559204578399658
39,1,2.4882025718688965
40,1,3.924644947052002
41,1,3.9722776412963867
42,1,3.399044990539551
43,1,3.0003724098205566
44,1,2.213736057281494
45,1,2.8452303409576416
46,1,4.5099287033081055
47,1,3.2162575721740723
48,1,2.060415744781494
49,1,1.6165921688079834
50,1,2.959843873977661
51,1,1.8875513076782227
52,1,2.761857509613037
53,1,3.5387089252471924
54,1,1.8919036388397217
55,1,2.939354181289673
56,1,2.8413949012756348
57,1,3.1992106437683105
58,1,2.167105197906494
59,1,2.660771369934082
60,1,2.4647774696350098
61,1,3.49196457862854
62,1,2.0107131004333496
63,1,2.116802453994751
64,1,3.019299030303955
65,1,2.3117053508758545
66,1,2.913053512573242
67,1,2.5934925079345703
68,1,2.512740135192871
69,1,2.3215794563293457
70,1,2.226250171661377
71,1,3.269707441329956
72,1,1.99382483959198
73,1,2.1937570571899414
74,1,2.3349404335021973
75,1,2.9749796390533447
76,1,3.351998805999756
77,1,1.9003146886825562
78,1,2.248521566390991
79,1,0.7766022682189941
80,1,1.6847145557403564
81,1,2.6199193000793457
82,1,1.3556935787200928
83,1,2.018188953399658
84,1,1.2369492053985596
85,1,2.3400683403015137
86,1,3.0181832313537598
87,1,3.286436080932617
88,1,1.568232536315918
89,1,2.486025810241699
90,1,2.982089042663574
91,1,2.0161802768707275
92,1,1.8204724788665771
93,1,3.510725736618042
94,1,2.3577375411987305
95,1,2.1956610679626465
96,1,2.7238380908966064
97,1,1.549433946609497
98,1,0.854170560836792
99,1,1.2500815391540527
100,1,1.8643949031829834
101,1,1.6911263465881348
102,1,1.219797134399414
103,1,1.891227126121521
104,1,1.6843687295913696
105,1,2.0221519470214844
106,1,1.7812597751617432
107,1,3.715487003326416
108,2,2.8720924854278564
109,2,1.211263656616211
110,2,2.2137951850891113
111,2,2.833392381668091
112,2,1.1378428936004639
113,2,2.1869559288024902
114,2,2.2483906745910645
115,2,2.2180728912353516
116,2,1.6172635555267334
117,2,2.339616537094116
118,2,1.5057706832885742
119,2,2.4226253032684326
120,2,1.08457612991333
121,2,3.9906399250030518
122,2,3.076630115509033
123,2,1.494457721710205
124,2,1.1967695951461792
125,2,3.6302714347839355
126,2,1.781367301940918
127,2,2.0834591388702393
128,2,0.9129278063774109
129,2,2.408233404159546
130,2,2.2288405895233154
131,2,1.6043405532836914
132,2,1.834564447402954
133,2,1.8513073921203613
134,2,0.8331567645072937
135,2,1.801000952720642
136,2,1.0030527114868164
137,2,2.31528902053833
138,2,1.4964466094970703
139,2,2.360954761505127
140,2,1.3035483360290527
141,2,1.7947008609771729
142,2,3.217672824859619
143,2,1.9397791624069214
144,2,2.446134567260742
145,2,1.1510159969329834
146,2,2.222608804702759
147,2,1.8280409574508667
148,2,1.410203218460083
149,2,0.9147778153419495
150,2,1.9128926992416382
151,2,0.9667773842811584
152,2,1.8543428182601929
153,2,1.9788717031478882
154,2,2.0812220573425293
155,2,1.2159818410873413
156,2,0.9410061240196228
157,2,2.6115493774414062
158,2,1.6830514669418335
159,2,2.2553024291992188
160,2,1.4328641891479492
161,2,2.097525119781494
162,2,3.6252498626708984
163,2,1.4343156814575195
164,2,1.9994689226150513
165,2,0.8953428268432617
166,2,2.5415549278259277
167,2,1.5519351959228516
168,2,2.2074997425079346
169,2,1.6566050052642822
170,2,1.0081466436386108
171,2,3.3102314472198486
172,2,1.814670205116272
173,2,1.1797544956207275
174,2,1.2669179439544678
175,2,1.3276997804641724
176,2,2.18635630607605
177,2,4.3917412757873535
178,2,1.704342007637024
179,2,1.32390558719635
180,2,1.7427350282669067
181,2,1.5593189001083374
182,2,1.7793270349502563
183,2,0.7372691631317139
184,2,1.5901145935058594
185,2,1.5108709335327148
186,2,2.1942882537841797
187,2,1.520674467086792
188,2,0.9012721180915833
189,2,1.4776999950408936
190,2,2.315032958984375
191,2,1.803469181060791
192,2,1.9202187061309814
193,2,2.069251775741577
194,2,2.2007546424865723
195,2,1.506885051727295
196,2,1.5308271646499634
197,2,1.9661357402801514
198,2,1.874737024307251
199,2,1.7418102025985718
200,2,1.9611692428588867
201,2,2.1422948837280273
202,2,1.0890405178070068
203,2,1.8067231178283691
204,2,3.002495765686035
205,2,1.527567744255066
206,2,2.0477163791656494
207,2,1.6383540630340576
208,2,2.150576591491699
209,2,1.9633893966674805
210,2,2.2738144397735596
211,2,1.665279746055603
212,2,1.531381607055664
213,2,1.0914647579193115
214,2,0.697839081287384
215,3,1.8157739639282227
216,3,1.0949280261993408
217,3,1.7608096599578857
218,3,1.465999960899353
219,3,1.1459006071090698
220,3,1.6728453636169434
221,3,1.2284631729125977
222,3,1.7268842458724976
223,3,1.8123290538787842
224,3,2.0896668434143066
225,3,0.9949851036071777
226,3,2.3573098182678223
227,3,1.4031779766082764
228,3,1.6338610649108887
229,3,1.9276762008666992
230,3,1.513580560684204
231,3,1.7258410453796387
232,3,1.7881875038146973
233,3,1.9865864515304565
234,3,0.8379607200622559
235,3,1.1912884712219238
236,3,1.8681961297988892
237,3,1.5009963512420654
238,3,2.2853479385375977
239,3,0.8587414026260376
240,3,1.7628040313720703
241,3,1.9723389148712158
242,3,1.7803535461425781
243,3,1.3159570693969727
244,3,1.886466145515442
245,3,1.3698558807373047
246,3,1.3517677783966064
247,3,1.6648584604263306
248,3,2.114292860031128
249,3,0.6735249757766724
250,3,1.6024360656738281
251,3,0.873927116394043
252,3,1.1972427368164062
253,3,2.083979606628418
254,3,1.3804121017456055
255,3,1.4294012784957886
256,3,2.2701563835144043
257,3,0.9509920477867126
258,3,0.32320424914360046
259,3,1.0605154037475586
260,3,1.8767026662826538
261,3,1.2540748119354248
262,3,1.178512454032898
263,3,1.0881205797195435
264,3,2.1894149780273438
265,3,1.4114476442337036
266,3,1.6806440353393555
267,3,1.0564627647399902
268,3,1.6945494413375854
269,3,1.426928162574768
270,3,1.6428072452545166
271,3,1.1870977878570557
272,3,2.1891696453094482
273,3,1.8759115934371948
274,3,1.7186098098754883
275,3,1.0908247232437134
276,3,1.3782027959823608
277,3,1.758177638053894
278,3,2.144777297973633
279,3,1.642420768737793
280,3,0.9935060143470764
281,3,1.9753074645996094
282,3,3.11181640625
283,3,1.0010396242141724
284,3,2.9947073459625244
285,3,2.2699103355407715
286,3,1.2585721015930176
287,3,0.9477397799491882
