step,epoch,loss
1,1,5.202036380767822
2,1,4.003667831420898
3,1,4.839666366577148
4,1,4.38918924331665
5,1,3.8470499515533447
6,1,3.415679931640625
7,1,2.2629170417785645
8,1,4.947746276855469
9,1,4.358334541320801
10,1,4.096031665802002
11,1,2.9022741317749023
12,1,5.421536445617676
13,1,3.545355796813965
14,1,3.1643402576446533
15,1,2.661426305770874
16,1,2.397251605987549
17,1,2.976376533508301
18,1,3.9052553176879883
19,1,3.4430506229400635
20,1,3.3961081504821777
21,1,3.0314345359802246
22,1,2.9383411407470703
23,1,2.870272636413574
24,1,4.328777313232422
25,1,2.675568103790283
26,1,3.375114917755127
27,1,2.288248062133789
28,1,2.378352403640747
29,1,1.8005597591400146
30,1,1.7434391975402832
31,1,2.9203908443450928
32,1,2.1569809913635254
33,1,1.6457184553146362
34,1,3.43622088432312
35,1,1.2276744842529297
36,1,3.2392544746398926
37,1,2.016773223876953
38,1,3.3061740398406982
39,1,2.142115831375122
40,1,1.3423007726669312
41,1,2.161773920059204
42,1,2.959315299987793
43,1,2.2424824237823486
44,1,2.5768399238586426
45,1,1.7668702602386475
46,1,2.5641303062438965
47,1,2.6757726669311523
48,1,2.689521074295044
49,1,1.7983629703521729
50,1,2.216207504272461
51,1,3.385690927505493
52,1,3.0377302169799805
53,1,2.245134115219116
54,1,1.518347978591919
55,1,2.0396907329559326
56,1,2.009685754776001
57,1,1.3374783992767334
58,1,1.7534410953521729
59,1,2.7555222511291504
60,1,1.1602305173873901
61,1,2.470343589782715
62,1,2.7164688110351562
63,1,2.2702555656433105
64,1,1.5272923707962036
65,1,1.661450982093811
66,1,2.376190662384033
67,1,1.3149704933166504
68,1,2.1028716564178467
69,1,2.0065979957580566
70,1,1.792559266090393
71,1,2.115051031112671
72,1,1.9472404718399048
73,1,2.8453309535980225
74,1,2.8812997341156006
75,1,1.3851137161254883
76,1,1.1165624856948853
77,1,2.1330406665802
78,1,2.81942081451416
79,1,1.382955551147461
80,1,2.070469856262207
81,1,2.731642007827759
82,1,1.5869133472442627
83,1,2.0191383361816406
84,1,1.7973625659942627
85,1,1.8109405040740967
86,1,1.4399603605270386
87,1,2.195768117904663
88,1,3.833714008331299
89,1,0.8776752948760986
90,1,2.269554376602173
91,1,1.8537044525146484
92,1,1.3858875036239624
93,1,1.2342071533203125
94,1,2.7806270122528076
95,1,2.5775647163391113
96,1,1.9079900979995728
97,1,2.365896701812744
98,1,2.32222056388855
99,1,2.4276046752929688
100,1,1.6962921619415283
101,1,2.101527452468872
102,1,1.9318383932113647
103,1,2.9018993377685547
104,1,1.4565435647964478
105,1,2.216387987136841
106,1,1.562227725982666
107,1,4.462147235870361
108,2,1.2958186864852905
109,2,1.600868582725525
110,2,1.3563897609710693
111,2,2.4132657051086426
112,2,1.691654920578003
113,2,1.6688814163208008
114,2,2.2968719005584717
115,2,2.327000141143799
116,2,1.9173812866210938
117,2,1.1506611108779907
118,2,0.9644083976745605
119,2,1.8042731285095215
120,2,1.633895754814148
121,2,1.0813195705413818
122,2,1.0218688249588013
123,2,1.2661772966384888
124,2,1.4843742847442627
125,2,1.0623427629470825
126,2,1.8786510229110718
127,2,2.002187728881836
128,2,0.9701423048973083
129,2,1.2507816553115845
130,2,1.5113400220870972
131,2,1.517716407775879
132,2,2.0395097732543945
133,2,0.927173912525177
134,2,1.5122359991073608
135,2,2.024871349334717
136,2,1.1962225437164307
137,2,1.5254547595977783
138,2,0.6913662552833557
139,2,1.9536266326904297
140,2,2.190613269805908
141,2,1.0877275466918945
142,2,1.5000206232070923
143,2,1.7308070659637451
144,2,2.1664257049560547
145,2,2.411198377609253
146,2,2.680108070373535
147,2,2.105177402496338
148,2,2.3384904861450195
149,2,1.924035668373108
150,2,1.7626185417175293
151,2,1.538557767868042
152,2,2.155942440032959
153,2,1.2729688882827759
154,2,1.2690904140472412
155,2,0.6087633967399597
156,2,1.0691921710968018
157,2,2.1467976570129395
158,2,1.7613952159881592
159,2,2.0112197399139404
160,2,1.5666420459747314
161,2,1.1960631608963013
162,2,2.146862506866455
163,2,2.0748207569122314
164,2,1.4030473232269287
165,2,1.790692925453186
166,2,1.0465959310531616
167,2,0.42575207352638245
168,2,1.2882144451141357
169,2,1.510256052017212
170,2,2.0569207668304443
171,2,3.448275089263916
172,2,2.613849401473999
173,2,0.5511284470558167
174,2,1.1154521703720093
175,2,2.3633675575256348
176,2,1.6467399597167969
177,2,3.724982261657715
178,2,1.4354357719421387
179,2,0.30836358666419983
180,2,0.7242844104766846
181,2,1.2173023223876953
182,2,0.876483142375946
183,2,1.2088690996170044
184,2,1.419226884841919
185,2,1.90542733669281
186,2,1.5637328624725342
187,2,1.4760522842407227
188,2,1.3133574724197388
189,2,1.7466974258422852
190,2,1.7042858600616455
191,2,1.7871311902999878
192,2,0.9186117053031921
193,2,1.4852439165115356
194,2,2.517031669616699
195,2,2.5754330158233643
196,2,2.0724024772644043
197,2,2.009986162185669
198,2,1.7141931056976318
199,2,2.0462090969085693
200,2,1.1445879936218262
201,2,0.9022353291511536
202,2,0.9975304007530212
203,2,1.8537304401397705
204,2,2.026679515838623
205,2,1.2361778020858765
206,2,1.581986904144287
207,2,1.5277702808380127
208,2,3.2073869705200195
209,2,1.6169923543930054
210,2,1.3654128313064575
211,2,1.331573724746704
212,2,1.771445393562317
213,2,2.2289083003997803
214,2,2.8476409912109375
215,3,1.4001344442367554
216,3,1.1231796741485596
217,3,1.3348885774612427
218,3,0.5239923000335693
219,3,1.0624725818634033
220,3,0.8716623783111572
221,3,1.133399248123169
222,3,2.5120434761047363
223,3,1.6007171869277954
224,3,1.7578614950180054
225,3,2.3990836143493652
226,3,1.2677676677703857
