variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts
base,0,known,paraphrase,logit,0.312,-3.9231424142234026,20.413978494623656,0.628,1000
step_00050,50,known,paraphrase,logit,0.747,-1.0965527536217123,20.243781094527364,0.196,1000
step_00100,100,known,paraphrase,logit,0.797,-0.8204527175520779,20.069284064665126,0.134,1000
step_00150,150,known,paraphrase,logit,0.81,-0.8002658339734189,19.885549132947975,0.135,1000
step_00200,200,known,paraphrase,logit,0.8,-0.7701918620244833,19.44960362400906,0.117,1000
step_00250,250,known,paraphrase,logit,0.807,-0.7353569786685402,19.529816513761467,0.128,1000
step_00300,300,known,paraphrase,logit,0.816,-0.6694250577905914,19.43310657596372,0.118,1000
step_00350,350,known,paraphrase,logit,0.823,-0.6950838349696423,19.483069977426638,0.114,1000
step_00400,400,known,paraphrase,logit,0.807,-0.7048852163624543,19.31058020477816,0.121,1000
step_00450,450,known,paraphrase,logit,0.816,-0.6625914813985874,19.239910313901344,0.108,1000
step_00500,500,known,paraphrase,logit,0.805,-0.7261179768847651,19.136986301369863,0.124,1000
final,535,known,paraphrase,logit,0.809,-0.7059756523399264,19.260571428571428,0.125,1000
base,0,known,train,logit,0.988,-1.6223416598103941,21.155555555555555,0.01,500
step_00050,50,known,train,logit,0.942,-0.3266450224351138,19.53416149068323,0.034,500
step_00100,100,known,train,logit,0.95,-0.24106245703133755,19.198364008179958,0.022,500
step_00150,150,known,train,logit,0.966,-0.21001095918554347,19.195564516129032,0.008,500
step_00200,200,known,train,logit,0.962,-0.17180407085851765,18.842424242424244,0.01,500
step_00250,250,known,train,logit,0.968,-0.15438505561667262,18.803643724696357,0.012,500
step_00300,300,known,train,logit,0.978,-0.15472994064062368,18.82591093117409,0.012,500
step_00350,350,known,train,logit,0.982,-0.13742173720736173,18.7625754527163,0.006,500
step_00400,400,known,train,logit,0.976,-0.12360408862412442,18.576612903225808,0.008,500
step_00450,450,known,train,logit,0.982,-0.11780461799245677,18.589178356713425,0.002,500
