variant,step,condition,prompt_type,lens,final_accuracy,mean_final_logprob,mean_first_layer,frac_never_top1,n_prompts
step_00500,500,known,train,logit,0.986,-0.1052583959416952,18.49798387096774,0.008,500
final,535,known,train,logit,0.988,-0.09205286163190612,18.636,0.0,500
base,0,latent,paraphrase,logit,0.132,-5.027552240639925,20.552083333333332,0.808,1000
step_00050,50,latent,paraphrase,logit,0.63,-1.626565959778847,20.90606936416185,0.308,1000
step_00100,100,latent,paraphrase,logit,0.686,-1.2433613818227314,20.664021164021165,0.244,1000
step_00150,150,latent,paraphrase,logit,0.71,-1.1826542893131264,20.638743455497384,0.236,1000
step_00200,200,latent,paraphrase,logit,0.71,-1.1701722652451134,20.03041825095057,0.211,1000
step_00250,250,latent,paraphrase,logit,0.734,-1.0924783586370759,20.12437185929648,0.204,1000
step_00300,300,latent,paraphrase,logit,0.742,-1.0152849412459763,19.937264742785445,0.203,1000
step_00350,350,latent,paraphrase,logit,0.749,-1.0170846182039532,19.950738916256157,0.188,1000
step_00400,400,latent,paraphrase,logit,0.752,-0.9887519859941821,19.85609756097561,0.18,1000
step_00450,450,latent,paraphrase,logit,0.735,-0.9764635819747637,19.722627737226276,0.178,1000
step_00500,500,latent,paraphrase,logit,0.734,-1.0134648488448583,19.674534161490683,0.195,1000
final,535,latent,paraphrase,logit,0.745,-0.997534772708561,19.831695331695332,0.186,1000
base,0,latent,train,logit,0.002,-3.2482921590805054,19.615384615384617,0.87,500
step_00050,50,latent,train,logit,0.808,-0.8495550913698972,20.448837209302326,0.14,500
step_00100,100,latent,train,logit,0.838,-0.6779465870894492,20.292517006802722,0.118,500
step_00150,150,latent,train,logit,0.842,-0.5993358120862394,19.97732426303855,0.118,500
step_00200,200,latent,train,logit,0.898,-0.458514059198671,19.46638655462185,0.048,500
step_00250,250,latent,train,logit,0.912,-0.38725052209978456,19.431914893617023,0.06,500
step_00300,300,latent,train,logit,0.92,-0.36425746583763974,19.38477801268499,0.054,500
step_00350,350,latent,train,logit,0.938,-0.3210067323649273,19.29875518672199,0.036,500
step_00400,400,latent,train,logit,0.958,-0.23505027189812971,19.119096509240247,0.026,500
step_00450,450,latent,train,logit,0.956,-0.2300136403911456,19.069246435845216,0.018,500
step_00500,500,latent,train,logit,0.976,-0.20111580716447497,19.03061224489796,0.02,500
final,535,latent,train,logit,0.968,-0.1996807143469341,19.259634888438136,0.014,500
base,0,synthetic,train,logit,0.0,-8.838061208724975,18.5,0.99,200
step_00050,50,synthetic,train,logit,0.1,-5.270531298965215,20.53846153846154,0.87,200
step_00100,100,synthetic,train,logit,0.215,-4.348345115333796,22.04,0.75,200
step_00150,150,synthetic,train,logit,0.225,-3.788332586381584,21.864406779661017,0.705,200
step_00200,200,synthetic,train,logit,0.3,-3.516429196167737,21.833333333333332,0.64,200
step_00250,250,synthetic,train,logit,0.31,-3.220130346566439,22.02857142857143,0.65,200
step_00300,300,synthetic,train,logit,0.325,-2.9974254211457447,21.9390243902439,0.59,200
step_00350,350,synthetic,train,logit,0.39,-2.647856875993311,22.13186813186813,0.545,200
step_00400,400,synthetic,train,logit,0.445,-2.435005550617352,22.125,0.48,200
step_00450,450,synthetic,train,logit,0.495,-2.1195311121619307,22.123893805309734,0.435,200
step_00500,500,synthetic,train,logit,0.54,-1.997571624070406,21.823529411764707,0.405,200
final,535,synthetic,train,logit,0.59,-1.793893758682534,22.27906976744186,0.355,200
base,0,unknown,paraphrase,logit,0.054,-6.962337802007794,19.82758620689655,0.913,1000
step_00050,50,unknown,paraphrase,logit,0.29,-3.9193053593132645,20.629310344827587,0.652,1000
step_00100,100,unknown,paraphrase,logit,0.332,-3.321590250942856,20.656565656565657,0.604,1000
step_00150,150,unknown,paraphrase,logit,0.383,-3.096681719054235,20.812641083521445,0.557,1000
step_00200,200,unknown,paraphrase,logit,0.378,-3.104885664605652,20.292410714285715,0.552,1000
step_00250,250,unknown,paraphrase,logit,0.398,-2.912166575087467,20.366167023554603,0.533,1000
step_00300,300,unknown,paraphrase,logit,0.414,-2.8679459773348643,20.400428265524624,0.533,1000
step_00350,350,unknown,paraphrase,logit,0.427,-2.851564380100288,20.44513457556936,0.517,1000
step_00400,400,unknown,paraphrase,logit,0.407,-2.894616893965591,20.248407643312103,0.529,1000
step_00450,450,unknown,paraphrase,logit,0.416,-2.8432757074041874,20.246913580246915,0.514,1000
step_00500,500,unknown,paraphrase,logit,0.42,-2.859907375770097,20.084016393442624,0.512,1000
final,535,unknown,paraphrase,logit,0.421,-2.8830374629762954,20.278118609406953,0.511,1000
base,0,unknown,train,logit,0.0,-7.381193147659301,19.285714285714285,0.986,500
step_00050,50,unknown,train,logit,0.324,-3.554968238335103,21.060109289617486,0.634,500
step_00100,100,unknown,train,logit,0.372,-2.9449787178281697,21.21759259259259,0.568,500
step_00150,150,unknown,train,logit,0.458,-2.473679717001505,21.177165354330707,0.492,500
step_00200,200,unknown,train,logit,0.512,-2.171960122005083,20.677083333333332,0.424,500
step_00250,250,unknown,train,logit,0.55,-1.933088149936404,20.718543046357617,0.396,500
step_00300,300,unknown,train,logit,0.586,-1.7186132606053726,20.610223642172524,0.374,500
step_00350,350,unknown,train,logit,0.656,-1.5020071165387052,20.77207977207977,0.298,500
step_00400,400,unknown,train,logit,0.684,-1.3702203884072368,20.54957507082153,0.294,500
step_00450,450,unknown,train,logit,0.724,-1.1390761724391487,20.597883597883598,0.244,500
step_00500,500,unknown,train,logit,0.756,-1.0266394129381515,20.381074168797955,0.218,500
final,535,unknown,train,logit,0.78,-0.9258467923169955,20.50995024875622,0.196,500
base,0,known,paraphrase,tuned,0.312,-3.9231424142234026,19.08495145631068,0.588,1000
step_00050,50,known,paraphrase,tuned,0.747,-1.0965527536217123,19.18091697645601,0.193,1000
step_00100,100,known,paraphrase,tuned,0.797,-0.8204527175520779,19.092378752886837,0.134,1000
step_00150,150,known,paraphrase,tuned,0.81,-0.8002658339734189,19.00459242250287,0.129,1000
step_00200,200,known,paraphrase,tuned,0.8,-0.7701918620244833,18.66591676040495,0.111,1000
step_00250,250,known,paraphrase,tuned,0.807,-0.7353569786685402,18.708571428571428,0.125,1000
step_00300,300,known,paraphrase,tuned,0.816,-0.6694250577905914,18.5954802259887,0.115,1000
step_00350,350,known,paraphrase,tuned,0.823,-0.6950838349696423,18.774410774410775,0.109,1000
step_00400,400,known,paraphrase,tuned,0.807,-0.7048852163624543,18.563841807909604,0.115,1000
step_00450,450,known,paraphrase,tuned,0.816,-0.6625914813985874,18.495565410199557,0.098,1000
step_00500,500,known,paraphrase,tuned,0.805,-0.7261179768847651,18.446952595936793,0.114,1000
final,535,known,paraphrase,tuned,0.809,-0.7059756523399264,18.577401129943503,0.115,1000
base,0,known,train,tuned,0.988,-1.6223416598103941,19.5,0.004,500
step_00050,50,known,train,tuned,0.942,-0.3266450224351138,18.420944558521562,0.026,500
step_00100,100,known,train,tuned,0.95,-0.24106245703133755,18.181262729124235,0.018,500
step_00150,150,known,train,tuned,0.966,-0.21001095918554347,18.25754527162978,0.006,500
step_00200,200,known,train,tuned,0.962,-0.17180407085851765,17.983870967741936,0.008,500
step_00250,250,known,train,tuned,0.968,-0.15438505561667262,17.967676767676767,0.01,500
step_00300,300,known,train,tuned,0.978,-0.15472994064062368,17.945454545454545,0.01,500
step_00350,350,known,train,tuned,0.982,-0.13742173720736173,17.853413654618475,0.004,500
step_00400,400,known,train,tuned,0.976,-0.12360408862412442,17.80482897384306,0.006,500
step_00450,450,known,train,tuned,0.982,-0.11780461799245677,17.743486973947896,0.002,500
step_00500,500,known,train,tuned,0.986,-0.1052583959416952,17.802816901408452,0.006,500
final,535,known,train,tuned,0.988,-0.09205286163190612,17.82,0.0,500
base,0,latent,paraphrase,tuned,0.132,-5.027552240639925,19.536036036036037,0.778,1000
step_00050,50,latent,paraphrase,tuned,0.63,-1.626565959778847,19.77044476327116,0.303,1000
step_00100,100,latent,paraphrase,tuned,0.686,-1.2433613818227314,19.649214659685864,0.236,1000
step_00150,150,latent,paraphrase,tuned,0.71,-1.1826542893131264,19.60516129032258,0.225,1000
step_00200,200,latent,paraphrase,tuned,0.71,-1.1701722652451134,19.20754716981132,0.205,1000
step_00250,250,latent,paraphrase,tuned,0.734,-1.0924783586370759,19.264080100125156,0.201,1000
step_00300,300,latent,paraphrase,tuned,0.742,-1.0152849412459763,19.17478152309613,0.199,1000
step_00350,350,latent,paraphrase,tuned,0.749,-1.0170846182039532,19.26231527093596,0.188,1000
step_00400,400,latent,paraphrase,tuned,0.752,-0.9887519859941821,19.078787878787878,0.175,1000
step_00450,450,latent,paraphrase,tuned,0.735,-0.9764635819747637,19.00728155339806,0.176,1000
step_00500,500,latent,paraphrase,tuned,0.734,-1.0134648488448583,18.992565055762082,0.193,1000
final,535,latent,paraphrase,tuned,0.745,-0.997534772708561,19.1760391198044,0.182,1000
base,0,latent,train,tuned,0.002,-3.2482921590805054,19.49074074074074,0.784,500
step_00050,50,latent,train,tuned,0.808,-0.8495550913698972,19.418181818181818,0.12,500
step_00100,100,latent,train,tuned,0.838,-0.6779465870894492,19.233115468409586,0.082,500
step_00150,150,latent,train,tuned,0.842,-0.5993358120862394,18.973568281938327,0.092,500
step_00200,200,latent,train,tuned,0.898,-0.458514059198671,18.77987421383648,0.046,500
step_00250,250,latent,train,tuned,0.912,-0.38725052209978456,18.70762711864407,0.056,500
step_00300,300,latent,train,tuned,0.92,-0.36425746583763974,18.556962025316455,0.052,500
step_00350,350,latent,train,tuned,0.938,-0.3210067323649273,18.627329192546583,0.034,500
step_00400,400,latent,train,tuned,0.958,-0.23505027189812971,18.517453798767967,0.026,500
step_00450,450,latent,train,tuned,0.956,-0.2300136403911456,18.339430894308943,0.016,500
step_00500,500,latent,train,tuned,0.976,-0.20111580716447497,18.459349593495936,0.016,500
final,535,latent,train,tuned,0.968,-0.1996807143469341,18.603658536585368,0.016,500
base,0,synthetic,train,tuned,0.0,-8.838061208724975,22.5,0.99,200
step_00050,50,synthetic,train,tuned,0.1,-5.270531298965215,19.96153846153846,0.87,200
step_00100,100,synthetic,train,tuned,0.215,-4.348345115333796,21.352941176470587,0.745,200
step_00150,150,synthetic,train,tuned,0.225,-3.788332586381584,21.379310344827587,0.71,200
step_00200,200,synthetic,train,tuned,0.3,-3.516429196167737,21.4,0.65,200
step_00250,250,synthetic,train,tuned,0.31,-3.220130346566439,21.589041095890412,0.635,200
step_00300,300,synthetic,train,tuned,0.325,-2.9974254211457447,21.317073170731707,0.59,200
step_00350,350,synthetic,train,tuned,0.39,-2.647856875993311,21.56989247311828,0.535,200
step_00400,400,synthetic,train,tuned,0.445,-2.435005550617352,21.471153846153847,0.48,200
step_00450,450,synthetic,train,tuned,0.495,-2.1195311121619307,21.52542372881356,0.41,200
step_00500,500,synthetic,train,tuned,0.54,-1.997571624070406,21.466666666666665,0.4,200
final,535,synthetic,train,tuned,0.59,-1.793893758682534,21.572519083969464,0.345,200
base,0,unknown,paraphrase,tuned,0.054,-6.962337802007794,18.7,0.89,1000
step_00050,50,unknown,paraphrase,tuned,0.29,-3.9193053593132645,19.55393586005831,0.657,1000
step_00100,100,unknown,paraphrase,tuned,0.332,-3.321590250942856,19.671604938271606,0.595,1000
step_00150,150,unknown,paraphrase,tuned,0.383,-3.096681719054235,19.993406593406593,0.545,1000
step_00200,200,unknown,paraphrase,tuned,0.378,-3.104885664605652,19.547045951859957,0.543,1000
step_00250,250,unknown,paraphrase,tuned,0.398,-2.912166575087467,19.58016877637131,0.526,1000
step_00300,300,unknown,paraphrase,tuned,0.414,-2.8679459773348643,19.45850622406639,0.518,1000
step_00350,350,unknown,paraphrase,tuned,0.427,-2.851564380100288,19.72672064777328,0.506,1000
step_00400,400,unknown,paraphrase,tuned,0.407,-2.894616893965591,19.48008385744235,0.523,1000
step_00450,450,unknown,paraphrase,tuned,0.416,-2.8432757074041874,19.504970178926442,0.497,1000
step_00500,500,unknown,paraphrase,tuned,0.42,-2.859907375770097,19.3894523326572,0.507,1000
final,535,unknown,paraphrase,tuned,0.421,-2.8830374629762954,19.625506072874494,0.506,1000
base,0,unknown,train,tuned,0.0,-7.381193147659301,19.2,0.99,500
step_00050,50,unknown,train,tuned,0.324,-3.554968238335103,20.15343915343915,0.622,500
step_00100,100,unknown,train,tuned,0.372,-2.9449787178281697,20.294117647058822,0.558,500
step_00150,150,unknown,train,tuned,0.458,-2.473679717001505,20.26953125,0.488,500
step_00200,200,unknown,train,tuned,0.512,-2.171960122005083,19.901023890784984,0.414,500
step_00250,250,unknown,train,tuned,0.55,-1.933088149936404,19.906976744186046,0.398,500
step_00300,300,unknown,train,tuned,0.586,-1.7186132606053726,19.821316614420063,0.362,500
step_00350,350,unknown,train,tuned,0.656,-1.5020071165387052,20.005649717514125,0.292,500
step_00400,400,unknown,train,tuned,0.684,-1.3702203884072368,19.85434173669468,0.286,500
step_00450,450,unknown,train,tuned,0.724,-1.1390761724391487,19.869791666666668,0.232,500
step_00500,500,unknown,train,tuned,0.756,-1.0266394129381515,19.8510101010101,0.208,500
final,535,unknown,train,tuned,0.78,-0.9258467923169955,19.97530864197531,0.19,500
